dev,alg,nt,reps,n,bs,nb,q,lr,GPU_BSIZE,CG_GROUP_SIZE,CG_MEM_ALIGNMENT,timestamp,t,q/s,ns/q,construction,outbuffer,tempbuffer,freeGPUMemCorrect,freeGPUMem,checkResult
NVIDIA GeForce RTX 5090,[GPU] BASE,1,1,1048576,1,0,65536,-1,1024,0,0,2026-05-24T22:58:40Z,0.139978,468188.991512,2135.889605,0.000000,0.000000,0.000000,1,31038.562500,5
NVIDIA GeForce RTX 5090,[GPU] RTX_blocks,1,1,1048576,64,16384,65536,-1,1024,0,0,2026-05-24T22:58:40Z,0.004316,15184584.421806,65.856264,25.633053,68.332672,4.527616,1,30898.562500,4
NVIDIA GeForce RTX 5090,[GPU] XXX,1,1,1048576,1,0,65536,-1,1024,0,0,2026-05-24T22:58:41Z,64,3,2,0.000031,2135627422.469423,0.468246,20.873188,0.135296,0.000000,1,31038.562500,5
NVIDIA GeForce RTX 5090,[GPU] Interleaved2,1,1,1048576,1,0,65536,-1,1024,0,0,2026-05-24T22:58:41Z,64,3,2,NVIDIA GeForce RTX 5090,[GPU] Interleaved in CUDA,1,1,1048576,1,0,65536,-1,1024,0,0,2026-05-24T22:58:42Z,64,3,2,0.000027,2447199406.515349,0.408630,0.020829,0.135296,0.000000,1,31038.562500,5
NVIDIA GeForce RTX 5090,[GPU] BASIC VECTOR LOAD,1,1,1048576,1,0,65536,-1,1024,0,0,2026-05-24T22:58:42Z,64,0,2,0.000020,3334147222.386613,0.299927,21.944860,0.279616,0.000000,1,31038.562500,5
NVIDIA GeForce RTX 5090,[GPU] Interleaved_in_OptiX,1,1,1048576,1,0,65536,-1,1024,0,0,2026-05-24T22:58:42Z,64,3,2,NVIDIA GeForce RTX 5090,[GPU] XXX multi load,1,1,1048576,1,0,65536,-1,1024,0,0,2026-05-24T22:58:43Z,64,3,2,0.000023,2872748021.645320,0.348099,21.166317,0.135296,0.000000,1,31038.562500,5
NVIDIA GeForce RTX 5090,[GPU] BASE,1,1,1048576,1,0,65536,-3,1024,0,0,2026-05-24T22:58:43Z,0.025943,2526153.227358,395.858806,0.000000,0.000000,0.000000,1,31038.562500,5
NVIDIA GeForce RTX 5090,[GPU] RTX_blocks,1,1,1048576,64,16384,65536,-3,1024,0,0,2026-05-24T22:58:43Z,0.003768,17393417.960094,57.493013,27.371973,68.332672,4.527616,1,30898.562500,4
NVIDIA GeForce RTX 5090,[GPU] XXX,1,1,1048576,1,0,65536,-3,1024,0,0,2026-05-24T22:58:44Z,64,3,2,0.000042,1558970413.764025,0.641449,35.097591,0.135296,0.000000,1,31038.562500,5
NVIDIA GeForce RTX 5090,[GPU] Interleaved2,1,1,1048576,1,0,65536,-3,1024,0,0,2026-05-24T22:58:45Z,64,3,2,NVIDIA GeForce RTX 5090,[GPU] Interleaved in CUDA,1,1,1048576,1,0,65536,-3,1024,0,0,2026-05-24T22:58:45Z,64,3,2,0.000026,2491957889.362319,0.401291,0.020318,0.135296,0.000000,1,31038.562500,5
NVIDIA GeForce RTX 5090,[GPU] BASIC VECTOR LOAD,1,1,1048576,1,0,65536,-3,1024,0,0,2026-05-24T22:58:45Z,64,0,2,0.000020,3207988603.010867,0.311722,27.106709,0.279616,0.000000,1,31038.562500,5
NVIDIA GeForce RTX 5090,[GPU] Interleaved_in_OptiX,1,1,1048576,1,0,65536,-3,1024,0,0,2026-05-24T22:58:45Z,64,3,2,NVIDIA GeForce RTX 5090,[GPU] XXX multi load,1,1,1048576,1,0,65536,-3,1024,0,0,2026-05-24T22:58:46Z,64,3,2,0.000023,2815966940.656990,0.355118,20.219076,0.135296,0.000000,1,31038.562500,5
