path,category,exists,correct,consistent,comprehensive,valid,missing_required_tokens,stale_patterns,missing_links,missing_command_paths
README.md,front_page,True,True,True,True,True,,,,
docs/README.md,doc_index,True,True,True,True,True,,,,
docs/quick_tutorial.md,tutorial,True,True,True,True,True,,,,
docs/release_facing_examples.md,doc_index,True,True,True,True,True,,,,
docs/tutorials/README.md,tutorial,True,True,True,True,True,,,,
docs/tutorials/hello_world.md,tutorial,True,True,True,True,True,,,,
docs/tutorials/sorting_demo.md,tutorial,True,True,True,True,True,,,,
docs/tutorials/segment_polygon_workloads.md,tutorial,True,True,True,True,True,,,,
docs/tutorials/nearest_neighbor_workloads.md,tutorial,True,True,True,True,True,,,,
docs/tutorials/graph_workloads.md,tutorial,True,True,True,True,True,,,,
docs/tutorials/db_workloads.md,tutorial,True,True,True,True,True,,,,
docs/tutorials/rendering_and_visual_demos.md,tutorial,True,True,True,True,True,,,,
docs/features/README.md,feature_doc,True,True,True,True,True,,,,
docs/features/db_workloads/README.md,feature_doc,True,True,True,True,True,,,,
docs/rtdl_feature_guide.md,doc_index,True,True,True,True,True,,,,
docs/current_milestone_qa.md,doc_index,True,True,True,True,True,,,,
docs/release_reports/v0_7/README.md,release_report,True,True,True,True,True,,,,
docs/release_reports/v0_7/release_statement.md,release_report,True,True,True,True,True,,,,
docs/release_reports/v0_7/support_matrix.md,release_report,True,True,True,True,True,,,,
docs/release_reports/v0_7/audit_report.md,release_report,True,True,True,True,True,,,,
docs/release_reports/v0_7/tag_preparation.md,release_report,True,True,True,True,True,,,,
examples/README.md,example_index,True,True,True,True,True,,,,
